
k=1
[1 2 3 4 6 7]	15.245	[-0.909 0.625 0.689 -0.0189 0.109 -0.0159 0.186]
[1 3 5 6 7 8]	15.520	[1.93 0.681 0.00132 0.674 -0.235 -0.135 0.00968]
[1 2 5 6 7 8]	15.665	[-0.953 0.576 0.735 0.637 -0.212 -0.0667 0.00934]
[1 2 3 4 7 8]	15.749	[0.623 0.577 0.665 -0.018 0.124 -0.0599 0.00841]
[1 3 4 5 6 8]	16.107	[2.04 0.619 -0.0131 0.225 0.852 -0.201 0.00755]
[1 2 4 5 6 8]	16.458	[-0.729 0.55 0.563 0.126 0.756 -0.191 0.00754]
[1 2 3 6 7 8]	16.788	[-0.263 0.645 0.819 -0.0155 -0.14 -0.0614 0.0109]
[1 2 3 4 6 8]	17.193	[0.152 0.636 0.692 -0.0206 0.111 -0.111 0.00975]
[1 4 5 6 7 8]	17.620	[2.19 0.614 0.209 0.826 -0.198 -0.154 0.00959]
[1 3 4 6 7 8]	18.474	[3.13 0.708 -0.0108 0.196 -0.101 -0.187 0.0116]
[2 3 5 6 7 8]	18.659	[-2.52 1.04 -0.00559 1.01 0.0401 0.174 0.00616]
[1 2 4 6 7 8]	18.675	[0.0973 0.626 0.612 0.0966 -0.104 -0.15 0.0111]
[2 3 4 5 6 7]	20.739	[-2.07 0.82 -0.0111 0.167 1.17 0.0966 0.299]
[2 3 4 6 7 8]	23.128	[-1.23 0.962 -0.01 0.12 0.249 0.0979 0.00851]
[2 4 5 6 7 8]	23.337	[-1.51 0.78 0.158 1.13 0.0547 0.107 0.00629]
[2 3 4 5 7 8]	23.525	[-1.33 0.831 -0.0113 0.166 1.21 0.151 0.00739]
[2 3 4 5 6 8]	23.713	[-0.386 0.799 -0.00841 0.17 1.12 0.0537 0.00894]
[3 4 5 6 7 8]	26.706	[1.63 0.00038 0.279 1.31 0.0857 0.0504 0.00619]

k=7
[1 2 3 4 5 6 7]	13.493	[-0.866 0.556 0.619 -0.0187 0.144 0.803 -0.131 0.198]
[1 2 3 4 5 7 8]	13.834	[0.477 0.489 0.612 -0.0171 0.154 0.552 -0.00849 0.0055]
[1 2 3 5 6 7 8]	14.702	[-0.639 0.59 0.801 -0.0144 0.625 -0.223 -0.0126 0.00941]
[1 2 3 4 5 6 8]	15.495	[0.259 0.574 0.619 -0.0195 0.144 0.742 -0.205 0.00894]
[1 3 4 5 6 7 8]	16.754	[2.65 0.628 -0.0114 0.224 0.83 -0.205 -0.117 0.00966]
[1 2 4 5 6 7 8]	17.035	[-0.0909 0.56 0.551 0.129 0.74 -0.195 -0.0968 0.00936]
[1 2 3 4 6 7 8]	17.517	[0.623 0.642 0.676 -0.0192 0.113 -0.115 -0.0814 0.0112]
[2 3 4 5 6 7 8]	22.633	[-1.23 0.821 -0.0111 0.168 1.13 0.0523 0.149 0.0063]

k=8
[1 2 3 4 5 6 7 8]	15.638	[0.429 0.577 0.614 -0.019 0.145 0.737 -0.206 -0.0295 0.00947]
